,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
0,Fri Dec 15 04:04:44 +0000 2023,1735511179781656951,"@dedy_pram Pastilah, Prabowo Anies nggak punya prestasi...",0,0,0,0,in,797761417894051840,1735147124734787952,MarahIchsan,https://twitter.com/MarahIchsan/status/1735511179781656951
1,Fri Dec 15 04:04:33 +0000 2023,1735511136202813536,Suasana pedesaan memang selalu menyenangkan... udara segar dengan rimbunnya tumbuhan hijau... sungai jernih penuh ikan-ikan kecil sampai besar yg menarik ...  Angin Dieng yg Gacoan Adidas Semalem bukan Ordal Anies https://t.co/7BXHMzo2Kn,0,0,0,0,in,936445409605459968,1735511136202813536,Agung_wiyo,https://twitter.com/Agung_wiyo/status/1735511136202813536
2,Fri Dec 15 04:04:31 +0000 2023,1735511127524851742,Program anies hanyalah mengubah nama rumah sakit se Indonesia wkwk!!  JUNGKOOK IS COMING olivia Gacoan Daesang BANGTAN DEBUT Karina #BABYMONSTER #DeathsGame Wonbin BATTER UP 100M VIEWS https://t.co/q63OMtb3Ka,0,0,0,0,in,768652236,1735511127524851742,Alfakton_i,https://twitter.com/Alfakton_i/status/1735511127524851742
3,Fri Dec 15 04:04:27 +0000 2023,1735511110340825410,@kumparan @aniesbaswedan anies... BERBOHONG DAN NIPU TANPA RASA BERSALAH,0,0,0,0,in,1710823909275410432,1735145861896925316,justtheway333,https://twitter.com/justtheway333/status/1735511110340825410
4,Fri Dec 15 04:04:26 +0000 2023,1735511105630540090,Tidak Bicara Sesuai Fakta! Anies Dengan Lantang Sebut Lampung Tidak Mempunyai Alat Pemantau Polusi Udara   Gacoan | Anies | gempa | Daesang | Pagii | BATTER UP 100M VIEWS | pilihan terbaik | #SUHOinAAA | #NightHasComeEp8 | #NCTDREAMxSALMASALSABIL https://t.co/9ubCGtY30v,0,0,1,1,in,1661757337554784264,1735511103046893580,singgihabdrchmn,https://twitter.com/singgihabdrchmn/status/1735511105630540090
5,Fri Dec 15 04:04:25 +0000 2023,1735511103046893580,"Prabowo Sindir Anies Baswedan: APBD Paling Besar, Tapi Kok Mas Anies Gagal Memimpin Jakarta!  Gacoan | Anies | gempa | Daesang | Pagii | BATTER UP 100M VIEWS | pilihan terbaik | #SUHOinAAA | #NightHasComeEp8 | #NCTDREAMxSALMASALSABIL https://t.co/5ftxD8kCsB",0,1,1,1,in,1661757337554784264,1735511103046893580,singgihabdrchmn,https://twitter.com/singgihabdrchmn/status/1735511103046893580
6,Fri Dec 15 04:04:15 +0000 2023,1735511059925229872,"@hasyimmah Alesan harus jelas dan pak anies sudah menjelaskan sejelas jelas nya,masih engga paham?dungu berarti",0,0,0,1,in,3157194798,1735191540715458961,7f33229758ab489,https://twitter.com/7f33229758ab489/status/1735511059925229872
7,Fri Dec 15 04:04:13 +0000 2023,1735511049322025409,@brochandra @ainunnajib Wow mantap sekali. Apakah ini artinya bro Anies akan menjadi presiden RI?,0,0,0,0,in,353739058,1735452750002217316,MisterMarmut,https://twitter.com/MisterMarmut/status/1735511049322025409
8,Fri Dec 15 04:04:12 +0000 2023,1735511048718045241,"@ajengcute16__ saya dulu belajar majas  kelas 8 SMP,saya paham apa yang dibilang pak anies. kalo yang ga paham mungkin belum mengenyam kelas 8.",0,0,0,0,in,1410420836499066883,1735153591063814316,id_edx,https://twitter.com/id_edx/status/1735511048718045241
9,Fri Dec 15 04:04:03 +0000 2023,1735511008104620433,"@tvOneNews Kasian kiki, padahal itu fakta, memang si anies jago berkata kata saja demi menarik simpati, padahal implementasinya dijamin NOL. Cth waktu jd mentri dan gubernur aja, kerja nya standar banget. #AniesMuhaimin2024 #AMIN",0,0,0,0,in,1596864352174604288,1735465213535891471,bimasakti_2013,https://twitter.com/bimasakti_2013/status/1735511008104620433
10,Fri Dec 15 04:04:00 +0000 2023,1735510995450388662,@strike_bravo_b anaknya anies cakep bener. dua anak capres yang mukanya ga tengil. 😂😂,0,0,0,1,in,743346458871488513,1735508463508484156,FrankSudiro,https://twitter.com/FrankSudiro/status/1735510995450388662
11,Fri Dec 15 04:03:57 +0000 2023,1735510983098105976,"@detikcom Partai yg mendukung pak Anies juga tdk tahan menjadi oposisi,Nasdem dan PKB tuh msh ada yg jabat mentri dan Imin msh jabat wakil ketua DPRRI nampaknya betah banget dgn kekuasaan,MUNDUR DONG",0,0,0,0,in,1395713255637585923,1735509991207936347,Budionotaslim3,https://twitter.com/Budionotaslim3/status/1735510983098105976
12,Fri Dec 15 04:03:57 +0000 2023,1735510982112526577,@blakcrws @ciroooo17 @abu_mahdzuroh Lah dia juga dulu dukung Prabowo yg lebih liberal dari Anies 🤣  HRS itu lebih ke anti jokowi-pdip sejak kasus ahok 😂,0,0,0,0,in,1587433143724044289,1735270449578479821,milktearoll,https://twitter.com/milktearoll/status/1735510982112526577
13,Fri Dec 15 04:03:55 +0000 2023,1735510976945181142,"@zenrs Asli rada hoream euy, ceunah kebebasan berpendapat. Sugan teh geus balik deui jadi Anies era Nurcholis Madjid Memorial Lecture..",0,0,0,0,in,880952622143815680,1735500075961618513,chandraknows,https://twitter.com/chandraknows/status/1735510976945181142
