,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
0,Fri Dec 15 10:31:40 +0000 2023,1735608555141730048,"Ganjar Pranowo dan Pak Mahfud MD, semoga kepemimpinan kalian memancarkan kehangatan seperti dalam keluarga. @titysl  GP 4Presiden https://t.co/MQtWaa6lbN",0,0,0,0,in,1690610120311589888,1735608555141730048,firdaraisyaa,https://twitter.com/firdaraisyaa/status/1735608555141734513
1,Fri Dec 15 10:31:40 +0000 2023,1735608554323950080,"Ganjar Pranowo, gubernur yang bisa menjadi inspirasi dengan kemampuannya menyatukan seni dan politik. @bakulojek  GP 4Presiden https://t.co/VWsZvfsvkz",0,0,0,0,in,1691369523004489984,1735608554323950080,zaraauliaaia,https://twitter.com/zaraauliaaia/status/1735608554323951975
2,Fri Dec 15 10:31:39 +0000 2023,1735608552843259904,Kebersamaan Ganjar dan Mahfud sebagai tim adalah kunci keberhasilan untuk memajukan Indonesia. @urcutebaby_  GP 4Presiden https://t.co/D2MWaMbWrg,0,0,0,0,in,1690492185102400000,1735608552843259904,adamalvnto1,https://twitter.com/adamalvnto1/status/1735608552843264005
3,Fri Dec 15 10:31:38 +0000 2023,1735608549248719872,Mengagumi betapa Mas Ganjar mampu menjaga keseimbangan antara tugas sebagai pemimpin dan peran sebagai kepala keluarga. @thvusergf  GP 4Presiden https://t.co/FDET6BxdUX,0,0,0,0,in,1689128132589329920,1735608549248719872,ZivaOktavia,https://twitter.com/ZivaOktavia/status/1735608549248729342
4,Fri Dec 15 10:31:38 +0000 2023,1735608548602889984,Semoga Ganjar Pranowo dan Mahfud MD dapat membawa semangat kebersamaan ke dalam kebijakan nasional. @BilaMuktadin  GP 4Presiden https://t.co/lfbDGm2dL5,0,0,0,0,in,1688485501551160064,1735608548602889984,dindafiitriii,https://twitter.com/dindafiitriii/status/1735608548602892453
5,Fri Dec 15 10:31:35 +0000 2023,1735608536552679936,Insana NTT rapatkan barisan dukung Ganjar-Mahfud  #SahabatGanjar #GanjarPranowo #Ganjar #MenangkanGanjar #GenerasiGotongRoyong https://t.co/bLVhkZktCp,0,0,1,1,in,1566295200846070016,1735608536552679936,GanjarPranowoo,https://twitter.com/GanjarPranowoo/status/1735608536552689827
6,Fri Dec 15 10:31:34 +0000 2023,1735608529426480128,Sukses untuk Mas Ganjar Pranowo dan Pak Mahfud MD. Semoga kepemimpinan mereka membawa Indonesia ke puncak kejayaan. @TaufikH28_  GP 4Presiden https://t.co/XfxMQTuWuY,0,0,0,0,in,1689533591473289984,1735608529426480128,AjiRama48_,https://twitter.com/AjiRama48_/status/1735608529426481483
7,Fri Dec 15 10:31:33 +0000 2023,1735608528285600000,Sukses selalu untuk Mas Ganjar Pranowo dan Pak Mahfud MD! Mereka adalah tim yang berpotensi membawa kemajuan besar untuk Jatim. @stvrlight09  GP 4Presiden https://t.co/xYsz7Dr3Bu,0,0,0,0,in,1695085751862789888,1735608528285600000,shivacheziiy,https://twitter.com/shivacheziiy/status/1735608528285602101
8,Fri Dec 15 10:31:33 +0000 2023,1735608525517469952,"@Prihati_utami Wah, tambah tua nih! Selamat ulang tahun, bro Alam Ganjar! Semoga makin jadi pribadi yang keren!",0,0,0,0,in,1394700610851589888,1735492753239490048,ihgajels,https://twitter.com/ihgajels/status/1735608525517475932
9,Fri Dec 15 10:31:32 +0000 2023,1735608520689779968,Suksesnya Ganjar Pranowo dalam bercanda membuktikan bahwa pemimpin yang ceria juga mampu membuat keputusan bijak. @baiqemi72  GP 4Presiden https://t.co/FhjzDyw9HF,0,0,0,0,in,1688091444194710016,1735608520689779968,hilmanputr80122,https://twitter.com/hilmanputr80122/status/1735608520689787203
