,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
0,Mon Dec 25 11:29:06 +0000 2023,1739246886425694408,"Gibran bikin Solo eksis, Cak Imin mungkin masih mencari panggung politik yang pas @kozirama  https://t.co/nDbbjfW8Zn",0,0,0,0,in,1678809428504743938,1739246886425694408,jaenabeti261330,https://twitter.com/jaenabeti261330/status/1739246886425694408
1,Mon Dec 25 11:29:02 +0000 2023,1739246873620389900,"Gibran berhasil bikin Solo eksis, Cak Imin mungkin masih belajar cara tampil di layar politik @aksioma02  https://t.co/NvdD5eAZQU",0,0,0,0,in,1678681664615227392,1739246873620389900,AsepSusant,https://twitter.com/AsepSusant/status/1739246873620389900
2,Mon Dec 25 11:28:59 +0000 2023,1739246860181897634,"Gibran bikin Solo jadi pusat perhatian, Cak Imin nampaknya masih sibuk nyari kipas angin di dunia politik @RagilSemar  https://t.co/1DaNHO3amN",0,0,0,0,in,1678338299054919680,1739246860181897634,nawang_nugroho,https://twitter.com/nawang_nugroho/status/1739246860181897634
3,Mon Dec 25 11:28:57 +0000 2023,1739246851415740469,"@VIVAcoid Urang Jabar, naha ikhlas disebut keun bakal ngadukung Prabowo Gibran? Ulah poho 2019 dibobodo 😉Prabowo! https://t.co/OfC9xRMtCP",0,0,0,0,in,1493831656469409796,1739234052711047409,h68052,https://twitter.com/h68052/status/1739246851415740469
4,Mon Dec 25 11:28:57 +0000 2023,1739246851168284898,"Gibran gesit, Cak Imin agak lambat Kira-kira harusnya gimana nih? @RizkiAsihan  https://t.co/XgmyMbNLPl",0,0,0,0,in,1673581261791854594,1739246851168284898,elisuwarsih,https://twitter.com/elisuwarsih/status/1739246851168284898
5,Mon Dec 25 11:28:57 +0000 2023,1739246849482260612,"Ekonomi Solo meroket, terima kasih kepada Gibran Jakarta dan Jateng? Belum maksimal di bawah Muhaimin @baca_insight  https://t.co/ZlRs8fuRSv",0,0,0,0,in,1676440836299685889,1739246849482260612,sulastridewi__,https://twitter.com/sulastridewi__/status/1739246849482260612
6,Mon Dec 25 11:28:56 +0000 2023,1739246846692982808,"Gibran bikin Solo kekinian, Cak Imin mungkin masih sibuk mencari tempat duduk nyaman di arena politik @privetbro1  https://t.co/acVBSRJhi6",0,0,0,0,in,1678799976661659648,1739246846692982808,ZeraInayah,https://twitter.com/ZeraInayah/status/1739246846692982808
7,Mon Dec 25 11:28:56 +0000 2023,1739246846491734492,"Gibran bikin Solo gemilang, Muhaimin bikin kita bergeming @Amrizaldy511  https://t.co/KnOl9tkxjY",0,0,0,0,in,1698624420221452288,1739246846491734492,BintanggYuliaa,https://twitter.com/BintanggYuliaa/status/1739246846491734492
8,Mon Dec 25 11:28:54 +0000 2023,1739246836391813220,"Gibran paham, Cak Imin kayaknya butuh kelas ekonomi @Munir_Timur  https://t.co/kwkfUQ3Nca",0,0,0,0,in,1678633051260338176,1739246836391813220,RidwanSarin,https://twitter.com/RidwanSarin/status/1739246836391813220
9,Mon Dec 25 11:28:51 +0000 2023,1739246825209778491,"Gibran bikin Solo eksis, Cak Imin mungkin masih sibuk mencari stasiun politik untuk naik ke tangga sukses @Ranggajati_  https://t.co/b1sVr76M7Z",0,0,0,0,in,1676842001113939968,1739246825209778491,andraprasetyo77,https://twitter.com/andraprasetyo77/status/1739246825209778491
