,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
0,Mon Dec 25 10:56:40 +0000 2023,1739238725560009010,@VIVAcoid Iya betul survei memenangkan PS DAN GIBRAN TETAP PRESIDENNYA ANIS DAN MUHAIMIN,0,0,0,0,in,1603744282321383426,1739045557321290166,saaleepp88,https://twitter.com/saaleepp88/status/1739238725560009010
1,Tue Dec 26 15:40:19 +0000 2023,1739672497115877660,@liputan6dotcom Keberagaman ide dan sudut pandang Anies Baswedan dan Gus Muhaimin menciptakan diskusi yang membangun.,0,0,0,0,in,1723007560532541440,1739492260465783217,azzura26052000,https://twitter.com/azzura26052000/status/1739672497115877660
2,Mon Dec 25 10:50:09 +0000 2023,1739237087545848258,"Untuk Meningkatkan Pemahaman Agar mudah Sosialisasi Teman Bisa Buka Website AMIN     Klik 👇👇👇 https://t.co/lyRdFVoG1A  Mari Terus Sosialisasi Ke Tetangga, Saudara &amp  Teman   Mari Menangkan Anies Muhaimin   #AniesMuhaimin2024 https://t.co/HYq9kc4RFz""",0,1,2,3,in,1580531078280146944,1739237087545848258,msw_andi,https://twitter.com/msw_andi/status/1739237087545848258
3,Tue Dec 26 15:39:45 +0000 2023,1739672353268011344,@CNNIndonesia Gus Muhaimin dan Anies Baswedan telah mengukir jejak sebagai pemimpin yang membawa inovasi dalam dunia debat.,0,0,0,0,in,1723007560532541440,1739211064771014726,azzura26052000,https://twitter.com/azzura26052000/status/1739672353268011344
4,Mon Dec 25 10:49:27 +0000 2023,1739236909522550895,"@ajengcute16__ Bismillah.. Amin, Anies -Muhaimin  Presiden dan wakil presiden RI 2024 - 2029. Aamiin... #presidenRI",0,0,0,0,in,1451573640135208960,1739186596774343048,ado_ono,https://twitter.com/ado_ono/status/1739236909522550895
5,Tue Dec 26 15:38:37 +0000 2023,1739672068978032752,@liputan6dotcom Kedalaman intelektual Anies Baswedan dan Gus Muhaimin terasa dalam setiap argumen yang mereka kemukakan.,0,0,0,0,in,1730784394129080320,1739492260465783217,auliarahma7838,https://twitter.com/auliarahma7838/status/1739672068978032752
6,Mon Dec 25 10:49:22 +0000 2023,1739236888643256432,Tapi tak semua faham/sudi menuruti disiplin ini. Yang tahu hanya melulu mengikut tenggorokan sendiri.,0,0,0,0,in,1137347936818323457,1739236888643256432,itsmuhaiminlah,https://twitter.com/itsmuhaiminlah/status/1739236888643256432
7,Tue Dec 26 15:38:02 +0000 2023,1739671920990466151,@CNNIndonesia Anies Baswedan dan Gus Muhaimin adalah orator ulung yang mampu menyampaikan pesan dengan kejelasan dan kehangatan.,0,0,0,0,in,1730784394129080320,1739211064771014726,auliarahma7838,https://twitter.com/auliarahma7838/status/1739671920990466151
8,Mon Dec 25 10:49:14 +0000 2023,1739236856775258330,"@Fahrihamzah Amin, 1 putaran buat anis-muhaimin",0,0,0,0,in,1197335917,1739078807817269452,budhyeatfish,https://twitter.com/budhyeatfish/status/1739236856775258330
9,Tue Dec 26 15:37:05 +0000 2023,1739671684515561584,@liputan6dotcom Keterampilan komunikasi luar biasa Anies Baswedan dan Gus Muhaimin membawa pemahaman yang lebih dalam bagi setiap pendengar.,0,0,0,0,in,1723241739434201088,1739492260465783217,AnyaShelmo38932,https://twitter.com/AnyaShelmo38932/status/1739671684515561584
10,Mon Dec 25 10:47:09 +0000 2023,1739236333040615678,@detikcom Sosok kepemimpinan gus muhaimin melekat bgt kya lem alteko,0,0,0,0,in,1719347019280793600,1738738764053139630,IyahUhuy63135,https://twitter.com/IyahUhuy63135/status/1739236333040615678
