id_komentar,nama_akun,tanggal,text_cleaning,sentimen
Ugzbll5eyrIy3-gdUUJ4AaABAg,Sqn Ldr,2023-08-06 12:54:49+00:00,saran sih bikin   harga ionic sama kayak brio insya alloh laris manis,positif
UgzEDUiV3OTrV943p8p4AaABAg,lushen ace,2023-08-04 12:16:23+00:00,problem subsidi kualitas diturunin harga dinaikin usaha gitu cari cuan subsidi sebab inflasi paling gede,negatif
UgwqJqu6JMF4EH2CsVV4AaABAg,Fatih Al-Ayyubi,2023-08-04 10:17:57+00:00,baik kualitas kembang dulu baik kualitas motor motor pabrikan jepang,positif
UgyYicCMR1rKwuOj2Y14AaABAg,yp office,2023-08-04 08:29:54+00:00,model jelek kwalitas buruk harga mahal croot,negatif
UgxKAcLuAwZOQK6es-x4AaABAg,Lembur Kuring,2023-08-04 07:55:37+00:00,syarat   ngaco woy anak muda   blom punya rumah blom jd umkm bukan serta kur   dapet ngaco sia deui sia deui nu narima subsidi teh ari aing iraha,negatif
Ugx-zVY4ktd7JNUB6xV4AaABAg,Syarif Airlangga,2023-08-04 06:58:17+00:00,harga motor mahal masa harga mirip motor beat kualitas bagai langit bumi,positif
Ugzu5Wkjya394dPHoq14AaABAg,BajuMax,2023-08-04 06:31:56+00:00,mol keren yah   berita   plus padahal mol lokal merk   batrenya juta garansi tahun anggap batre awet tahun   rakyat indonesia per tahun sekali keluar juta buat beli batre baru   o   saran uang subsidi keluar buat batre perintah   punya wewenang pertamina   kelola contoh gas kg gas kg gas kg produk baru misal batre v batre v batre v cabut bayar pasang gas pnp pom sistem swap batre banyak titik swap point indonesia luas,negatif
Ugyy3luBOOHQspWyBiR4AaABAg,Putut Parwoto,2023-08-04 01:04:18+00:00,proses kenal produk baru butuh waktu ganti kendara bbm jadi kendara butuh waktu tehnologi baru sabar,negatif
Ugw-fxD-u_9LFxhiRTp4AaABAg,Heru Prasetyo,2023-08-03 23:56:55+00:00,subsidi   tepat sasar,netral
Ugx2k37YO1fch9eEM4d4AaABAg,jonan kick ass hole,2023-08-03 11:25:57+00:00,adil rata terima subsidi jangan jangan pajak pph msh subsidi perintah khianat pancasila sila lima adil seluruh rakyat indonesia   mmg   mau rata bagus   usa subsidi sama sekali untung subsidi rata umum alih kendara bbm  lebih  cepat efek apa kurang konsumsi subsidi bbm kurang polusi tingkat minat pihak swasta dl   ikut partisipasi investasi ekosistem motor,negatif
