,userName,content,score
0,Amin Santoso,tiktok sangat bagus bisa berkarya dan mendapat teman banyak dari berbagai daerah dan jika beruntung bisa menghasilkan cuan semoga tiktok menambah fitur dan berbagai fasilitas lagi sukses and maju tiktok,5
1,monica hsu,saya suka dengan aplikasi tiktok dan aktif menggunakannya hanya saya kecewanya kesulitan mengubah cara top up coin dari dinar irak ke rupiah saya tinggal di indonesia dan cari uang di indonesia mengapa top up coin hanya bisa menggunakan iqd yang lbh mahal sekitar 30 di mana letak kesalahan saya saya pernah email bbrp minggu yll tapi tidak mendapat tanggapan mohon masukkan,5
2,Oppo A16,maaf saya kasih 2 karena aplikasi nya kurang bagus padahal jaringan saya full tapi klw udah di buka sekali ga bisa di buka lqi,2
3,Verdi Ximenes,tiktok nya sangat bagus tapi pas di buka video nya belum nonton sudah tidak mengapai jadi tolong di perbaiki lagi yakkk tiktok paling the best,3
4,Nenk shinta,kenapa dengan tiktok saya pas buka muter muter padahal wifi penuh dan gambar nya muter hitam gak ada gambar nya tolong di perbaiki lagi dong,2
5,Kelvin Aprillio,makin di update malah oploadnya selalu gagal mulu slalu kehapus terus tambah buruk aja nih aplikasi,1
6,Danny Ariyadi Putra,terima kasih tik tok tolong untuk tik tok yang ini di masukkan ke dalam peringkat social terpopuler agar mudah mencarinya dan mengupdatenya terima kasih,5
7,Cansio Dosantos,aku suka sama nih tiktok tapi aku serba gagal buat bikin video saat aku aplod juga nga dapat like,4
8,marcal maria,pokonya bagus kalau bisa lebih bagus lagi seperti efect atau kekurangan lainnya,4
9,Irfan 22,kalau mau bikin video lewat templat kadang bisa kadang engga dan mau menyimpan video kadang bisa dan kadang engga,4
10,Carolina Hornay,aplikasinya bagus banget tapi kenapa aku tambahkan lagu tik tok ke favorit tidak muncul di sana pliss pulih kan,4
11,De Risma,mengapa setelah saya memperbaharui wilayah saya tidak bisa mengunggah foto ataupun video tolong ditanggapi,3
12,bungi kiaw,saya sangat puas sama tiktok is the best terikasih ya tiktok kamu sangat memberikan inspirasi,5
13,Sinta Iqbal09,sekarang pas download tiktok gak langsung dapet updet barunyaharus nga updet sendiri terus lama lagi dapet updet pembaruan nya,3
14,indah saja,hadeh jaringan tidak stabil terus udh 5 hari padahal jaringan bagus wifi juga bagus,3
15,Mawar Merahmuda,ini dulu kecewa kenapa saya tidal bisa isi ulang coin klo nanti sudah bisa saya tambah bintangnya,2
16,Anne Marlina,satu dulu soalnya setiap buka tiktok slalu tidak menanggapi padahal baru di update,1
17,juulpengenfizr,aplikasi tiktoknya kenapa gak bisa dibuka anjj apk tololl,3
18,Lian Lestari,ga tau kenapa akhir ini buka live nge lag buka vidio lag padahal quota banyak buka aplikasi yg lain lancar aja pas buka tiktok ya alloh nge lag sumpah capee,1
19,Ratna Sari,lumayan oke buat hiburantapi sekarang gk ada notivikasi apapun tiktok gk bisa di buka,3
20,Chaca 883,kenapa efek gk bisa di ganti kalo mau joinsllu ada di layar biru gk bisa di ganti posisi lain,1
21,Lovely Rani,bagus saya sukakarna dengan tiktok saya merasa terhibur khususnya untuk kami para tki yg bekerja di luar negri selain bisa punya bnyak teman kami bisa menghibur diri dengan membuat vidio semoga tiktok kedepan makin maju dan bekembang,5
22,Magdalena Viani,app na bagustingkatkan cara kerja na dengan lebih baik lagi klau bisa ditambah fitur gambar na,5
23,Erni Mahesa,kok di aku gabisa update ya tiktok nya,1
24,Koko Quawara,aplikasi buruk tidak bisa berexpresi dengan bebas goblokk,1
25,Paya Costa,kenapa saat masuk tiktok tidak bisa mengunakan template capcut,2
26,Sunardi Nardi,kenapa ya tik tok aku ngak bisa muncul kurun mohon pencerahannya trimah kasih,5
27,Muhamad Fahad,video live ngelag parah video live gak terputar alias berhenti pasti gak ada suaranya orang video nya aja lag parah banget sangat mengecewakan,1
28,Ulfah Izdihar,tik tok aplikasi yang bagus dan banyak disukai oleh masyarakat kalau ada masalah tik tok akan menanggapi dengan baik dan cepat,5
29,Sarra Missa,kenapa ya tiktok ini tidak bisa buat komentar tolong perbaiki dulu,4
30,Rhany Bohay,selama ini tiktok baguscuma sayangsaya lagi berada di negri orangyang gk semua hp bisa muncul tiktokshop nyajd belum bisa menjalankan bisnis di tiktokshop,5
