reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
8c029d6c-9282-4034-9838-53f957384007,Amin Santoso,https://play-lh.googleusercontent.com/a-/ALV-UjXL__VQ6SldtBaNXFvXbIZNCp7UaC_EWR8t4m2DcGO6ajZIWgQ6,Tiktok sangat bagus. Bisa berkarya dan mendapat teman banyak dari berbagai daerah. Dan jika beruntung bisa menghasilkan Cuan😁🫡🫠👍 semoga tiktok menambah Fitur dan berbagai fasilitas lagi. Sukses and maju tiktok 🤲,5,622,34.3.3,2024-04-20 20:26:25,,,34.3.3
5be47d92-8ede-4f9a-a613-3107e9bfbde2,monica hsu,https://play-lh.googleusercontent.com/a/ACg8ocJ7uNlcePLSYoZ99PcSERiKNuGGexAtw35BuLStBWHGEat-1A=mo,"Saya suka dengan aplikasi tiktok dan aktif menggunakannya. Hanya saya kecewanya kesulitan mengubah cara top up coin dari Dinar Irak ke Rupiah, saya tinggal di Indonesia dan cari uang di Indonesia, mengapa top up coin hanya bisa menggunakan IQD yang lbh mahal sekitar 30%, di mana letak kesalahan saya? Saya pernah email bbrp Minggu yll, tapi tidak mendapat tanggapan. mohon masukkan.",5,1332,33.8.5,2024-03-13 23:45:22,,,33.8.5
a8d020fa-07ac-46e1-9ec1-9a1d6b24abec,Oppo A16,https://play-lh.googleusercontent.com/a/ACg8ocIAdfRmL5B_2CfbsGOTvnNPRjAO1eVYEjIf1ROdFomp1aM2Ww=mo,Maaf saya kasih 🌟 2 karena aplikasi nya kurang bagus padahal jaringan saya full tapi klw udah di buka sekali ga bisa di buka lqi,2,30,34.5.5,2024-05-04 02:50:04,,,34.5.5
26fbfb0b-c11b-46e5-8e8b-d9a2803615ee,Verdi Ximenes,https://play-lh.googleusercontent.com/a-/ALV-UjWgM0YtPSpYNiGs6b2eK87l76TRZQgUrdUhqPhDWbF8hjBAb-g,Tiktok nya sangat bagus tapi pas di buka video nya belum nonton sudah tidak mengapai jadi tolong di perbaiki lagi yakkk .. Tiktok paling the best 🔥🥰,3,57,33.8.5,2024-04-18 20:02:07,,,33.8.5
07d94c25-28a3-4b6d-a404-720513cf1c9a,Nenk shinta,https://play-lh.googleusercontent.com/a-/ALV-UjX_z3SC4EkfzSRiig9BNSQ5eCyG6dILj5yGDwuMNvr5a-LfOUk,Kenapa dengan tiktok saya pas buka muter muter padahal wifi penuh dan gambar nya muter hitam gak ada gambar nya tolong di perbaiki lagi dong.,2,1799,34.1.5,2024-04-08 15:41:52,,,34.1.5
5f310f80-ddd7-40d9-bf45-779e5e18b827,Kelvin Aprillio,https://play-lh.googleusercontent.com/a/ACg8ocIrn7Ni8sEvzeukbIapNxrtiO-MPv2vBUsnpY1Rc_1mxpNskw=mo,makin di update malah oploadnya selalu gagal mulu slalu kehapus terus. tambah buruk aja nih aplikasi,1,327,34.4.4,2024-04-25 20:38:12,,,34.4.4
ab29764c-ac31-4a53-95cb-c17beb68d13b,Danny Ariyadi Putra,https://play-lh.googleusercontent.com/a-/ALV-UjVNohI0OMNOkNa3wFGyaeDLO4asa0C1rlIHcAlOmXBVPQAULilO,"Terima kasih tik tok, tolong untuk tik tok yang ini di masukkan ke dalam peringkat social terpopuler agar mudah mencarinya dan mengupdatenya, terima kasih...",5,22,34.3.3,2024-04-20 06:09:05,,,34.3.3
21786cbb-2d90-4ea4-8c81-b3ad9ffe40ec,Cansio Dosantos,https://play-lh.googleusercontent.com/a/ACg8ocLARQbNJGtPDYrwEYfLJvhjZDQly98Hdn9voZAwR-LJbIiH3g=mo,Aku suka sama nih tiktok tapi aku serba gagal buat bikin video saat aku aplod juga nga dapat like.,4,0,33.7.4,2024-05-10 16:42:54,,,33.7.4
991739b8-2cf3-4fbd-88af-b73ff0f6dc06,marcal maria,https://play-lh.googleusercontent.com/a/ACg8ocLjC8Db69zsOXLnoW98pLtDUSt-TGEyzlPwgWnZbV-y4BsMoA=mo,Pokonya bagus kalau bisa lebih bagus lagi seperti efect atau kekurangan lainnya 🤙👍,4,22,34.1.5,2024-04-19 10:43:54,,,34.1.5
c946e1b2-8942-4770-b878-54a5d35e2820,Irfan 22,https://play-lh.googleusercontent.com/a/ACg8ocKSi9U7FwSlufAh3Y2YdPXBoxqgm6eI8IhgYpPRwz-4Mqj2=mo,"Kalau mau bikin video lewat templat kadang bisa kadang engga, dan mau menyimpan video kadang bisa dan kadang engga",4,1257,33.3.4,2024-02-15 11:31:13,,,33.3.4
